,0
llama2-70b,0.4605809128630705
vicuna-7b,0.4896265560165975
koala-13b,0.5518672199170125
wizardlm-13b,0.6431535269709544
vicuna-13b,0.6348547717842323
chatglm2,0.6265560165975104
oasst-12b,0.3983402489626556
baichuan-13b,0.004149377593360996
llama2-13b,0.4315352697095436
llama2-7b,0.46473029045643155
chatgpt,0.6970954356846473
gpt-4,0.8049792531120332
ernie,0.5477178423236515
vicuna-33b,0.6846473029045643
