model,KGD,QA,SUM,MC
mistral-7b,0.45,0.48,0.49,0.412
bison-001,0.27,0.39,0.28,0.577
gpt-4,0.14,0.29,0.46,0.832
llama2-70b,0.44,0.36,0.49,0.261
