model,Climate-FEVER,HealthVER,COVID-Fact,SciFact
mistral-7b,0.7038461538461539,0.6898496240601504,0.6024436090225564,0.7512437810945274
bison-001,0.43506493506493504,0.7254901960784315,0.4152845528455284,0.5510860820595334
gpt-4,0.7998576765700054,0.7947039138658518,0.7241086587436332,0.8342749529190208
llama2-70b,0.721964782205746,0.6807743795695602,0.7178819444444444,0.7453310696095076
